reviewerID,name,location,yelpJoinDate,friendCount,reviewCount,firstCount,usefulCount,coolCount,funnyCount,complimentCount,tipCount,fanCount
bNYesZ944s6IJVowOnB0iA,Scott E.,"Glengary, WV",October 2009,11,48,5,41,5,5,2,0,1
TRKxLC3y-ZvP45e5iilMtw,Jerry K.,"Palos Verdes Peninsula, CA",June 2011,0,4,0,0,0,0,0,0,0
0EMm8umAqXZzyhxNpL4M9g,Patricia M.,"Chicago, IL",September 2008,2,11,0,6,0,1,0,0,0
DlwexC7z88ymAzu45skODw,Terry N.,"San Jose, CA",October 2007,84,60,1,35,8,6,6,11,0
kW2dk1CWihmh3g7k9N2G8A,Shradha Vegetarianista A.,"Chicago, IL",July 2007,333,1209,61,1650,679,417,283,22,70
HxXEcMDDTJFUqVfhPF9M8Q,Rachel L.,"San Jose, CA",August 2009,59,54,1,68,20,37,12,0,4
OW2H-GkKnlVEBPuGHIaiFg,Justin L.,"San Francisco, CA",December 2008,45,77,0,60,17,12,1,0,1
BSh3h1J4mdSmEsb8FFdf0Q,Steven N.,"Chicago, IL",July 2010,34,116,2,93,16,19,10,0,2
F3mbveXX30Ou0gpDY6IrCQ,Royal L.,"Chicago, IL",December 2007,33,209,11,248,128,116,78,0,2
NvSnBp4fTpNOfDwm2GWusA,Calvin H.,"Plano, TX",March 2011,2,21,1,19,5,6,6,5,0
dCbC5DeMbsRsP0bw7RRG0w,Neera F.,"San Jose, CA",July 2011,5,5,0,6,1,0,0,1,0
-3Mzc2O6jmYLWQJcIJdvAA,Quinn C.,"West Hollywood, CA",June 2007,195,81,0,163,103,73,22,160,8
Or40sZeUkVa2w1SCjhaUVg,Jonathan Y.,"Boston, MA",November 2008,24,3,0,9,2,2,4,808,0
tToOHav143V1NXH0nf_YIA,Tim R.,"Chicago, IL",July 2008,217,724,54,1154,743,717,421,1,30
EkItn2a_Fx1KE9Q5amo7JA,Mary L.,"Cook, IL",September 2009,0,40,1,11,9,0,1,0,0
0SvPdzpIEHQFJOvnPt9zxQ,Jon A.,"Atlanta, GA",July 2009,52,50,6,99,50,31,15,17,5
hFaZatmXXpiEDyMFaLejmw,Susan Sassybrass C.,"Chicago, IL",October 2008,71,63,1,114,63,74,32,35,4
NAWMYBSkEPAEYp9YT7vM_Q,Nathan N.,"Bellaire, TX",June 2011,16,5,0,1,0,0,0,0,0
_Es4as5v1edu5WxeMvWHEg,Sarah J.,"New York, NY",December 2009,15,56,2,42,10,7,3,0,2
yGrCzVPdeHTiFl5KfUVZBA,Ashwin T.,"New York, NY",July 2009,62,79,0,56,19,16,11,36,3
7MczEWaY3Ic6p4kBkKH0gw,Glen Glen W.,"Chicago, IL",December 2011,27,17,1,4,2,2,0,0,0
TYfZrIzz08VGmvvvGZhqyw,Lindsay B.,"South Elgin, IL",January 2011,9,69,5,27,4,2,5,0,0
gmluXHnW8aihzYow1zVoRQ,Cheffrey don't make me do it D.,"Beverly Shores, IN",November 2010,3,21,8,22,3,5,1,0,1
9_Hqx7Bf5vwQsgP2g-WCCQ,Garrick L.,"Vancouver, BC",September 2008,13,10,0,9,1,2,0,0,1
XVvbDeYn5Dk-MteNHwjC7Q,Penny L.,"Cook County, IL",December 2007,2,14,1,5,1,3,0,4,1
R318sTI6PPW_9NVCo5kVug,Sue P.,"Brooklyn, NY",September 2011,13,83,1,38,12,19,6,9,1
wHR7qjlJsXs3S7VaxxwI3Q,Christine K.,"Chicago, IL",June 2012,36,34,0,5,1,0,2,9,1
om5ZiponkpRqUNa3pVPiRg,Andrea W R.,"Chicago, IL",January 2006,3945,2063,347,12660,9617,6682,6948,605,503
9eDVC1mdI0RRt5y77PwylQ,Viv L.,"Los Angeles, CA",February 2008,4,29,0,28,23,6,2,0,1
FzemMECB9UV6UAPqg3P88Q,Cyndy Eating Princess K.,"Falls Church, VA",August 2010,1,56,0,35,10,10,4,0,0
a-yKADt-y4lahw3jwu3rjA,D D.,"Chicago, IL",February 2009,0,23,0,26,1,3,0,0,0
zrqSc1REEIhayqGrPloRSw,Tina N.,"San Francisco, CA",October 2010,14,43,0,10,3,5,3,0,0
uEQ3nCdOBNOeJ0ow4Ds1vA,Steve Themeperks A.,"Orlando, FL",October 2008,12,83,1,81,31,12,18,1,2
9kclxG2_Tv_Mnhxj8llXww,Stephen G.,"Chicago, IL",April 2012,8,26,0,19,3,5,1,0,1
LZt80LbsfQ9kOz96H7c1bA,Jessica N.,"Chicago, IL",December 2010,68,132,0,154,84,22,24,3,7
WqnXtaOkrimhDgiCShzw9A,David G.,"Danville, CA",April 2007,5,169,9,371,79,112,20,0,4
TZelLnaGbHgaG7LBI6rfgg,Jonathan W.,"Calgary, AB",September 2008,963,527,59,856,535,227,383,0,24
9gE3SbLNfL5z9qntDkhI8A,Teresa Kobayashi N.,"La Jolla, CA",January 2011,106,86,1,181,130,115,266,38,8
6WB-0TRs_XV-AyQftRJFIg,Tina tintyina K.,"Los Angeles, CA",November 2009,50,61,0,148,52,32,20,0,15
_TUSWDc6GIQoiejzRs2h6w,Malena D.,"Hacienda Heights, CA",February 2007,361,180,19,761,613,467,1068,56,51
z22JqwXbQH5n-0MpF-1sOA,Lennie R.,"Beverly Hills, CA",May 2011,266,52,4,39,24,15,10,0,3
lXG7Mbhi6_nXaTZojpneUg,May Y.,"Chicago, IL",July 2012,118,73,0,74,38,28,69,0,5
tGcJIpbNMPwjZfflmiotnw,Stanley The Culinary Pornographer C.,"San Jose, CA",May 2009,11,101,0,59,19,16,6,0,3
wvCI_etK3sulkgHecMw38w,Clif P.,"Milwaukee, WI",April 2010,43,99,0,50,13,23,8,2,1
hHVkahiev66fTMb-bKmfaw,Chris A.,"Grand Rapids, MI",April 2012,2,29,0,29,7,13,0,0,1
